189;523;2007
294;235;1990
211;234;1962
-28;336;1789
22;335;1716
241;485;1477
215;500;1527
-233;384;2215
-264;511;2051
-190;590;1993
-261;527;2170
138;505;1933
329;348;1759
-40;302;1980
-149;167;1960
-130;-3;1976
-28;98;1944
4;31;2186
199;113;2062
129;171;2108
-1;207;2052
-22;15;2082
-9;-44;1911
-71;-42;2041
30;-70;2066
161;490;1941
62;274;2159
-3;304;2120
124;261;1899
108;115;1899
-98;-97;2101
-136;-136;2031
32;-170;1836
20;-183;2033
17;-162;2252
116;762;1830
140;250;2024
125;110;2134
150;359;1833
107;333;1784
-81;138;2209
-118;-46;2146
-103;-85;2091
-80;-109;2133
29;-28;1974
131;515;1925
137;189;2036
107;276;1997
15;226;2151
-12;153;2164
18;25;1886
-98;-173;2058
-48;-234;2032
-96;-206;2141
-11;-148;2076
151;1072;2074
156;292;2091
154;147;2056
63;276;2063
65;209;2075
-12;102;2048
-13;19;1878
49;-94;1842
116;-111;1723
47;-136;1830
96;-136;1957
226;-53;2018
147;473;2093
219;120;2162
279;292;1943
265;250;1864
99;36;1732
95;-133;1800
-21;-211;1835
-172;-268;1991
73;-168;2127
131;-233;2183
229;-66;1993
260;403;1862
269;421;1729
214;380;1913
235;273;2107
278;366;1950
242;304;1965
196;159;2166
202;197;1988
182;188;1860
198;-651;2404
436;-87;1883
462;-166;1655
391;-150;1905
185;-112;2238
238;89;2065
303;285;1861
259;236;2115
447;265;1804
322;239;2083
348;253;1997
318;227;1900
499;-412;1835
184;-82;2138
402;-7;1840
316;-105;2214
296;7;2022
135;176;2144
272;350;1803
232;291;2229
325;246;1971
158;66;2176
279;-239;1939
162;-113;1951
280;-110;1988
275;-81;2119
234;69;2097
338;211;1871
252;286;2159
340;301;1989
395;252;1898
313;-885;2162
262;-80;2106
178;-105;2052
362;-115;1972
373;-147;1993
287;-69;2121
254;68;2094
333;191;1953
363;231;2094
344;205;2185
359;176;2146
411;-487;1859
282;-38;1807
253;-199;2064
364;-143;2123
467;43;2025
377;223;2000
329;315;1910
327;197;1999
278;9;2151
226;-64;2080
63;0;2070
24;-16;2067
88;-27;1933
91;14;1995
16;37;2145
77;54;2151
185;52;1998
236;30;1928
457;-39;1673
235;74;1967
188;4;2200
251;25;2095
307;20;1894
269;80;1862
141;63;2098
79;22;2249
165;17;2049
192;37;1946
279;23;1881
421;-21;1836
290;-16;2059
256;-43;2137
278;-35;1958
246;-30;1929
178;-4;2036
137;41;2074
140;18;2070
141;0;2089
220;-4;2046
421;21;1986
358;12;1869
274;-85;2143
207;-73;2239
221;-27;2088
223;14;1903
190;38;1912
158;1;2023
91;-11;2125
125;30;2085
138;-12;2074
343;8;1702
357;12;1931
258;-13;2163
200;12;2143
234;10;1922
231;-7;1900
123;-18;2056
127;-19;2060
117;12;2135
98;17;2155
178;41;2004
741;44;1613
396;41;1838
212;17;2153
244;-88;2174
359;-74;1974
317;11;1959
282;60;1975
246;153;1948
71;194;1954
50;114;2074
204;144;1945
353;191;1820
284;245;2005
207;384;2156
237;501;1979
171;593;1970
177;551;1908
195;535;1855
239;533;1984
73;630;1892
190;670;1948
150;664;1963
91;580;1974
134;594;1871
134;617;1909
60;528;2009
29;434;1976
4;445;2056
60;567;1928
47;451;1980
-13;451;2110
43;504;2030
74;470;1974
48;420;2003
34;445;2007
35;463;2029
64;477;1973
60;438;1974
62;445;1983
23;464;2065
36;441;2047
37;457;2031
8;437;2079
56;460;2001
65;484;1951
60;458;1996
49;459;1996
79;450;1956
64;471;1967
59;473;1961
41;457;2023
