55;467;1991
28;453;2042
50;459;1971
32;463;2011
51;475;1993
14;457;2043
45;472;1980
-6;433;2054
65;499;1960
-53;473;2203
19;487;2219
-146;397;2175
-294;347;1976
-300;372;1878
-157;617;1870
-74;556;1821
-37;532;1862
-89;334;1846
0;523;1895
-5;600;2067
-77;444;1963
-88;290;1945
22;271;1914
57;238;2013
63;405;2111
-252;379;2273
96;249;1856
190;159;1869
64;81;2007
-111;-93;2337
-29;-10;2334
127;90;2166
203;67;2107
364;-74;2131
460;-155;2152
239;34;1769
-121;118;2077
87;294;2049
140;221;1952
-202;-65;2428
-306;-27;1946
-269;-58;1846
-209;-433;2316
-116;-445;1855
-189;-194;2128
-44;220;1841
-27;369;2229
276;146;1897
-6;-78;2038
-115;-84;1920
162;-66;2079
380;679;1933
200;293;2125
246;285;2100
205;408;1843
99;267;1957
31;-14;2049
72;-162;1942
130;-315;2007
88;-343;2101
150;-269;2028
196;-109;1956
230;675;1959
144;200;2021
216;153;2133
93;144;2143
70;41;2086
104;-130;1955
164;-219;1900
39;-293;2115
64;-291;1927
42;-368;2033
115;-373;2018
223;747;2196
205;99;1837
197;125;2154
202;141;2097
180;92;1992
204;-110;2106
140;-220;2196
166;-232;1911
176;-178;1835
72;-248;2036
110;-304;2045
243;-246;1995
118;404;2042
248;155;2087
236;171;1939
145;58;1932
96;-60;2174
98;-161;2172
111;-227;2016
47;-230;2148
129;-174;2003
182;-211;1908
191;-260;2017
243;957;2346
162;210;2140
309;-8;2152
163;98;2322
101;110;2012
44;32;1663
-87;-89;2063
-104;-404;2106
106;-540;1900
55;-237;2163
-136;31;2098
-30;109;1796
-10;120;1968
241;168;2096
384;199;2191
377;141;2079
406;228;1723
447;232;1716
408;317;1799
457;270;1912
447;225;2037
370;130;2065
513;-1086;2526
281;-200;2310
385;-389;2352
421;-214;2392
324;-14;2320
263;84;2270
290;175;2243
386;200;2189
447;178;2102
441;262;1827
425;217;1804
578;-534;1920
392;-182;1814
325;-221;1925
315;-95;2085
210;47;2308
212;235;2213
368;321;1940
369;207;2110
461;240;1863
382;296;1934
378;220;1978
550;-859;1995
338;-181;2083
317;-164;1933
384;-133;2083
305;26;2111
291;146;2080
238;211;2143
358;234;2002
345;210;2205
382;288;1969
262;216;2178
359;70;2028
419;-266;2111
355;-85;1742
313;-169;2085
410;-55;1859
372;-56;2042
335;0;2202
360;180;2029
340;234;2011
326;233;2061
339;264;2116
337;232;2081
281;-424;2018
388;-133;2007
255;-103;2108
571;-89;2017
717;30;1813
522;180;1785
317;197;1985
236;72;2092
303;-74;1917
160;-142;1774
56;-115;1797
33;-156;2023
129;-122;1997
195;-99;2116
239;-75;2114
281;-11;2040
564;129;2072
335;72;1981
439;30;1928
354;-39;2085
185;19;2219
134;79;2148
194;20;2068
141;-30;2153
110;-7;2185
116;14;2131
178;24;2158
665;229;1970
319;70;1969
384;39;2016
328;5;2134
261;34;2125
262;53;1979
265;15;1940
216;-43;2074
234;-41;2068
210;18;2056
237;52;2045
348;78;1873
458;138;1944
406;17;1764
346;21;2083
315;28;2090
329;28;1969
358;30;1900
223;-7;2081
183;-13;2161
127;31;2288
164;50;2245
232;64;2044
299;51;1917
432;34;1837
340;98;2009
422;85;1993
380;-6;1971
301;-7;1942
249;19;1923
210;28;1930
127;-19;2133
173;-12;2110
262;-19;1924
153;-17;2117
204;8;1997
188;-12;2154
994;3;1526
344;-33;1928
400;26;2005
352;-31;2091
368;9;1806
295;16;1918
242;7;2006
247;19;1986
241;13;1976
272;104;1831
251;206;1930
270;292;1830
230;272;1930
155;196;2045
132;146;2106
200;243;2069
188;243;2163
203;343;2143
200;452;2153
274;557;2163
268;641;1845
190;670;1811
233;687;1855
231;662;1795
133;651;1901
120;647;1909
148;630;1870
77;460;1959
96;611;2028
88;575;2008
2;604;1924
112;610;1918
-36;391;2087
63;407;1942
69;490;1974
33;418;1961
9;414;2012
29;464;1977
36;458;1974
49;432;1942
13;432;2005
48;458;1975
32;464;1982
17;450;2033
42;457;1980
16;462;2020
16;477;2025
22;477;1990
87;436;1931
32;450;2008
95;452;1890
39;457;1951
38;454;2011
52;454;1975
88;472;1917
43;471;1962
85;452;1890
32;445;2011
20;449;2006
80;442;1934
58;464;1944
58;459;1950
13;464;2026
